| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   15 |       0.25 |1583869153209 |      29 |  3526.0 |12058,62 |mscpnre1.txt |0,027 |
| 1 |  100 | 5000 |   15 | 0.39831528 |1583869153209 |      29 |  2962.0 |10113,79 |mscpnre1.txt | 0,59 |
| 1 |  200 | 5000 |   15 | 0.39590853 |1583869153209 |      29 |  2715.0 |9262,07 |mscpnre1.txt |  1,1 |
| 1 |  300 | 5000 |   15 | 0.37906137 |1583869153209 |      29 |  2587.0 |8820,69 |mscpnre1.txt |  1,6 |
| 1 |  500 | 5000 |   20 | 0.37906137 |1583869153209 |      29 |    29.0 | 0,00 |mscpnre1.txt |   17 |
| 2 |    1 | 5000 |   15 |       0.25 |1583869170344 |      29 |  3477.0 |11889,66 |mscpnre1.txt |0,0040 |
| 2 |  100 | 5000 |   15 | 0.36462092 |1583869170344 |      29 |  3286.0 |11231,04 |mscpnre1.txt | 0,47 |
| 2 |  200 | 5000 |   15 | 0.35258725 |1583869170344 |      29 |  2918.0 |9962,07 |mscpnre1.txt | 0,85 |
| 2 |  300 | 5000 |   15 |  0.3429603 |1583869170344 |      29 |  2679.0 |9137,93 |mscpnre1.txt |  1,2 |
| 2 |  400 | 5000 |   15 | 0.35980746 |1583869170344 |      29 |  2500.0 |8520,69 |mscpnre1.txt |  1,7 |
| 2 |  500 | 5000 |   20 | 0.36101082 |1583869170344 |      29 |    30.0 | 3,45 |mscpnre1.txt |   37 |
| 2 |  500 | 5000 |   20 | 0.36101082 |1583869170344 |      29 |    29.0 | 0,00 |mscpnre1.txt |   44 |
| 3 |    1 | 5000 |   15 |       0.25 |1583869214545 |      29 |  3620.0 |12382,76 |mscpnre1.txt |0,0030 |
| 3 |  100 | 5000 |   15 | 0.37063777 |1583869214545 |      29 |  2945.0 |10055,17 |mscpnre1.txt | 0,38 |
| 3 |  200 | 5000 |   15 | 0.36702767 |1583869214545 |      29 |  2767.0 |9441,38 |mscpnre1.txt | 0,75 |
| 3 |  300 | 5000 |   15 | 0.37184116 |1583869214545 |      29 |  2599.0 |8862,07 |mscpnre1.txt |  1,1 |
| 3 |  400 | 5000 |   15 | 0.36341757 |1583869214545 |      29 |  2493.0 |8496,55 |mscpnre1.txt |  1,5 |
| 3 |  500 | 5000 |   20 |  0.3381468 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |   36 |
| 3 |  600 | 5000 |   20 |  0.3586041 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |   82 |
| 3 |  700 | 5000 |   20 |  0.3586041 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,3e+02 |
| 3 |  800 | 5000 |   20 | 0.35740072 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |1,8e+02 |
| 3 |  900 | 5000 |   25 | 0.35619736 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |2,4e+02 |
| 3 | 1000 | 5000 |   25 |  0.3501805 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |3,0e+02 |
| 3 | 1100 | 5000 |   25 |  0.3501805 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |3,6e+02 |
| 3 | 1200 | 5000 |   25 |  0.3501805 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |4,2e+02 |
| 3 | 1300 | 5000 |   30 |  0.3501805 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |5,0e+02 |
| 3 | 1400 | 5000 |   30 |  0.3501805 |1583869214545 |      29 |    30.0 | 3,45 |mscpnre1.txt |5,7e+02 |
