| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   15 |       0.25 |1583871343362 |     429 |   536.0 |24,94 | mscp41.txt |0,090 |
| 1 |  100 | 5000 |   15 | 0.35714287 |1583871343362 |     429 |   453.0 | 5,59 | mscp41.txt |  2,7 |
| 1 |  200 | 5000 |   15 | 0.36309522 |1583871343362 |     429 |   452.0 | 5,36 | mscp41.txt |  3,9 |
| 1 |  300 | 5000 |   15 |       0.45 |1583871343362 |     429 |   443.0 | 3,26 | mscp41.txt |  5,0 |
| 1 |  400 | 5000 |   20 | 0.35714287 |1583871343362 |     429 |   437.0 | 1,86 | mscp41.txt |  6,5 |
| 1 |  500 | 5000 |   20 |       0.45 |1583871343362 |     429 |   433.0 | 0,93 | mscp41.txt |  8,0 |
| 1 |  600 | 5000 |   20 | 0.38690478 |1583871343362 |     429 |   432.0 | 0,70 | mscp41.txt |  9,5 |
| 1 |  700 | 5000 |   20 | 0.39285713 |1583871343362 |     429 |   430.0 | 0,23 | mscp41.txt |   11 |
| 1 |  800 | 5000 |   25 |  0.3809524 |1583871343362 |     429 |   430.0 | 0,23 | mscp41.txt |   13 |
| 1 |  900 | 5000 |   25 | 0.36309522 |1583871343362 |     429 |   430.0 | 0,23 | mscp41.txt |   15 |
| 1 | 1000 | 5000 |   25 | 0.39880952 |1583871343362 |     429 |   430.0 | 0,23 | mscp41.txt |   17 |
| 1 | 1100 | 5000 |   25 | 0.39285713 |1583871343362 |     429 |   430.0 | 0,23 | mscp41.txt |   19 |
|31 |  200 | 5000 |   30 | 0.39285713 |1583871343362 |     429 |   429.0 | 0,00 | mscp41.txt |   20 |
