| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 1 |    1 | 5000 |   15 |       0.25 |1583871363741 |      14 |  2571.0 |18264,29 |mscpnrf1.txt |0,0040 |
| 1 |  100 | 5000 |   15 | 0.36363637 |1583871363741 |      14 |  2246.0 |15942,86 |mscpnrf1.txt | 0,31 |
| 1 |  200 | 5000 |   15 |  0.3953168 |1583871363741 |      14 |  2078.0 |14742,86 |mscpnrf1.txt | 0,63 |
| 1 |  300 | 5000 |   15 |       0.45 |1583871363741 |      14 |  1897.0 |13450,00 |mscpnrf1.txt | 0,93 |
| 1 |  400 | 5000 |   15 | 0.39944905 |1583871363741 |      14 |  1807.0 |12807,14 |mscpnrf1.txt |  1,2 |
| 1 |  500 | 5000 |   20 | 0.35812673 |1583871363741 |      14 |    17.0 |21,43 |mscpnrf1.txt |   38 |
| 1 |  600 | 5000 |   20 |  0.3402204 |1583871363741 |      14 |    17.0 |21,43 |mscpnrf1.txt |   91 |
| 1 |  700 | 5000 |   20 | 0.36088154 |1583871363741 |      14 |    16.0 |14,29 |mscpnrf1.txt |1,5e+02 |
| 1 |  800 | 5000 |   20 | 0.36088154 |1583871363741 |      14 |    16.0 |14,29 |mscpnrf1.txt |2,0e+02 |
